iter,current_cost,best_cost,feasible
320,3840.569049,3748.029091,true
321,3840.569049,3748.029091,true
322,3819.407520,3748.029091,true
323,3819.407520,3748.029091,true
324,3819.407520,3748.029091,true
325,3819.407520,3748.029091,true
326,3819.407520,3748.029091,true
327,3819.407520,3748.029091,true
328,3819.407520,3748.029091,true
329,3819.407520,3748.029091,true
330,3819.407520,3748.029091,true
331,3819.407520,3748.029091,true
332,3819.407520,3748.029091,true
333,3819.407520,3748.029091,true
334,3819.407520,3748.029091,true
335,3819.407520,3748.029091,true
336,3819.407520,3748.029091,true
337,3819.407520,3748.029091,true
338,3819.407520,3748.029091,true
339,3819.407520,3748.029091,true
340,3819.407520,3748.029091,true
341,3819.407520,3748.029091,true
342,3775.245457,3748.029091,true
343,3749.207544,3748.029091,true
344,3724.413638,3724.413638,true
345,3667.117982,3667.117982,true
346,3641.633101,3641.633101,true
347,3641.633101,3641.633101,true
348,3641.633101,3641.633101,true
349,3641.633101,3641.633101,true
350,3701.061309,3641.633101,true
351,3701.061309,3641.633101,true
352,3701.061309,3641.633101,true
353,3720.660931,3641.633101,true
354,3844.390735,3641.633101,true
355,3844.390735,3641.633101,true
356,3844.390735,3641.633101,true
357,3844.390735,3641.633101,true
358,3844.390735,3641.633101,true
359,3844.390735,3641.633101,true
360,3844.390735,3641.633101,true
